Reading Date,Rainfall (in.),
01/01/2016,0.00,
01/02/2016,0.00,
01/03/2016,0.00,
01/04/2016,0.00,
01/05/2016,0.00,
01/06/2016,0.00,
01/07/2016,0.00,
01/08/2016,0.10,
01/09/2016,0.08,
01/10/2016,0.17,
01/11/2016,0.00,
01/12/2016,0.03,
01/13/2016,0.00,
01/14/2016,0.00,
01/15/2016,0.17,
01/16/2016,0.00,
01/17/2016,0.00,
01/18/2016,0.00,
01/19/2016,0.00,
01/20/2016,0.00,
01/21/2016,0.00,
01/22/2016,0.00,
01/23/2016,0.00,
01/24/2016,0.00,
01/25/2016,0.00,
01/26/2016,0.00,
01/27/2016,0.00,
01/28/2016,0.00,
01/29/2016,0.00,
01/30/2016,0.00,
01/31/2016,0.10,
02/01/2016,0.00,
02/02/2016,0.41,
02/03/2016,0.00,
02/04/2016,0.00,
02/05/2016,0.00,
02/06/2016,0.00,
02/07/2016,0.00,
02/08/2016,0.00,
02/09/2016,0.02,
02/10/2016,0.00,
02/11/2016,0.00,
02/12/2016,0.00,
02/13/2016,0.00,
02/14/2016,0.00,
02/15/2016,0.00,
02/16/2016,0.00,
02/17/2016,0.04,
02/18/2016,0.00,
02/19/2016,0.00,
02/20/2016,0.00,
02/21/2016,0.00,
02/22/2016,0.00,
02/23/2016,0.00,
02/24/2016,0.53,
02/25/2016,0.00,
02/26/2016,0.00,
02/27/2016,0.00,
02/28/2016,0.28,
02/29/2016,0.00,
03/01/2016,0.16,
03/02/2016,0.00,
03/03/2016,0.03,
03/04/2016,0.00,
03/05/2016,0.07,
03/06/2016,0.00,
03/07/2016,0.00,
03/08/2016,0.00,
03/09/2016,0.00,
03/10/2016,0.00,
03/11/2016,0.00,
03/12/2016,0.00,
03/13/2016,0.76,
03/14/2016,0.00,
03/15/2016,0.08,
03/16/2016,0.10,
03/17/2016,0.00,
03/18/2016,0.00,
03/19/2016,0.00,
03/20/2016,0.00,
03/21/2016,0.00,
03/22/2016,0.00,
03/23/2016,0.00,
03/24/2016,0.89,
03/25/2016,0.00,
03/26/2016,0.00,
03/27/2016,0.36,
03/28/2016,0.10,
03/29/2016,0.00,
03/30/2016,0.03,
03/31/2016,0.66,
04/01/2016,0.01,
04/02/2016,0.05,
04/03/2016,0.02,
04/04/2016,0.00,
04/05/2016,0.00,
04/06/2016,0.09,
04/07/2016,0.02,
04/08/2016,0.00,
04/09/2016,0.00,
04/10/2016,0.37,
04/11/2016,0.01,
04/12/2016,0.00,
04/13/2016,0.00,
04/14/2016,0.00,
04/15/2016,0.00,
04/16/2016,0.00,
04/17/2016,0.00,
04/18/2016,0.00,
04/19/2016,0.00,
04/20/2016,0.00,
04/21/2016,0.60,
04/22/2016,0.01,
04/23/2016,0.00,
04/24/2016,0.00,
04/25/2016,0.23,
04/26/2016,0.08,
04/27/2016,0.06,
04/28/2016,0.07,
04/29/2016,0.00,
04/30/2016,0.66,
05/01/2016,0.02,
05/02/2016,0.21,
05/03/2016,0.00,
05/04/2016,0.41,
05/05/2016,0.00,
05/06/2016,0.00,
05/07/2016,0.00,
05/08/2016,0.00,
05/09/2016,0.00,
05/10/2016,0.25,
05/11/2016,0.00,
05/12/2016,0.82,
05/13/2016,0.06,
05/14/2016,0.26,
05/15/2016,0.01,
05/16/2016,0.00,
05/17/2016,0.01,
05/18/2016,0.00,
05/19/2016,0.00,
05/20/2016,0.00,
05/21/2016,0.00,
